cell,protein
HS 578T,16413
HS 578T,16199
HS 578T,240
HS 578T,2068
HS 578T,6192
HS 578T,9393
HS 578T,2686
HS 578T,14979
HS 578T,11291
HS 578T,3308
HS 578T,13442
HS 578T,16882
HS 578T,12865
HS 578T,7118
HS 578T,1318
HS 578T,1345
HS 578T,9700
HS 578T,9981
HS 578T,12526
HS 578T,12375
HS 578T,13324
HS 578T,1837
HS 578T,12804
HS 578T,5074
HS 578T,723
HS 578T,15272
HS 578T,12419
HS 578T,17088
HS 578T,2560
HS 578T,1177
HS 578T,5379
HS 578T,1421
HS 578T,8080
HS 578T,8432
HS 578T,9676
HS 578T,12615
HS 578T,1233
HS 578T,14367
HS 578T,3820
HS 578T,14054
HS 578T,7670
HS 578T,15469
HS 578T,6944
HS 578T,5673
HS 578T,12621
HS 578T,12544
HS 578T,16926
HS 578T,2280
HS 578T,14718
HS 578T,1474
HS 578T,7666
HS 578T,11524
HS 578T,5558
HS 578T,15108
HS 578T,16170
HS 578T,15278
HS 578T,9093
HS 578T,9988
HS 578T,4304
HS 578T,10465
HS 578T,15850
HS 578T,4186
HS 578T,11624
HS 578T,12914
HS 578T,2010
HS 578T,14018
HS 578T,4297
HT29,12062
HT29,10771
HT29,17083
HT29,14608
HT29,8229
HT29,8581
HT29,848
HT29,9703
HT29,1513
HT29,2314
HT29,10779
HT29,4791
HT29,9185
HT29,7949
HT29,16086
HT29,5110
HT29,16493
HT29,15526
HT29,3452
HT29,12164
HT29,15853
HT29,13574
HT29,7903
HT29,3245
HT29,17088
HT29,6448
HT29,16575
HT29,11191
HT29,16819
HT29,15737
HT29,4390
HT29,15186
HT29,12652
HT29,8223
HT29,12933
HT29,3502
HT29,15080
HT29,11464
HT29,6334
HT29,4790
HT29,4967
HT29,1278
HT29,10292
HT29,15508
HT29,12706
HT29,13698
HT29,15535
HT29,15378
HT29,14002
HT29,13531
HT29,16926
HT29,6047
HT29,13584
HT29,15792
HT29,5806
HT29,7497
HT29,10125
HT29,15123
HT29,4394
HT29,10376
HT29,864
HT29,14758
HT29,449
HT29,1287
HT29,15149
HT29,17015
HT29,9165
HT29,12126
HT29,9639
HT29,1579
HT29,7959
HT29,10665
HT29,15760
HT29,16278
HT29,8238
HT29,13356
HT29,8236
HT29,12445
HT29,3186
HT29,14775
HT29,8241
HT29,8555
HT29,12008
HT29,14523
HT29,1333
HT29,5493
HT29,11044
HT29,9587
HT29,13026
HT29,9561
HT29,10617
HT29,16068
HT29,14298
HT29,6060
HT29,3337
HT29,8233
HT29,6256
HT29,5383
HT29,14694
HT29,6308
HT29,7163
HT29,12538
HT29,10595
HT29,15793
HT29,2508
HT29,853
HT29,2420
HT29,809
HT29,5516
HT29,2391
HT29,10089
HT29,6273
HT29,16426
HT29,14798
HT29,13948
HT29,967
HT29,14077
HT29,15967
HT29,1405
HT29,5539
HT29,8234
HT29,10443
HT29,16586
HT29,5387
HT29,4803
HT29,13227
HT29,16191
HT29,16086
HT29,12193
HT29,3341
HT29,16441
HT29,6145
HT29,1760
HT29,15810
HT29,17088
HT29,14461
HT29,15394
HT29,16374
HT29,10759
HT29,14029
HT29,15593
HT29,7940
HT29,625
HT29,6423
HT29,2139
HT29,15229
HT29,4076
HT29,16472
HT29,15667
HT29,1021
HT29,10210
HT29,10289
HT29,6960
HT29,9670
HT29,15292
HT29,16957
HT29,703
HT29,996
HT29,2340
HT29,12633
HT29,7203
HT29,11633
HT29,15369
HT29,4700
HT29,13425
HT29,6554
HT29,6335
HT29,1338
HT29,16166
HT29,14488
HT29,16564
HT29,12277
HT29,1935
HT29,15960
HT29,7725
HT29,11332
HT29,5368
HT29,9597
HT29,14800
HT29,7856
HT29,3367
HT29,8235
HT29,9671
HT29,14136
HT29,17093
HT29,1568
HT29,9200
HT29,8499
HT29,3195
HT29,596
HT29,15621
HT29,11723
HT29,4121
HT29,4467
HT29,8106
HT29,11115
HT29,16177
HT29,13736
HT29,8232
HT29,10694
HT29,16860
HT29,2414
HT29,3217
HT29,7142
HT29,14187
HT29,16413
HT29,16199
HT29,3308
HT29,11662
HT29,12865
HT29,7118
HT29,9700
HT29,10219
HT29,9981
HT29,12526
HT29,12375
HT29,13324
HT29,16993
HT29,12804
HT29,5074
HT29,723
HT29,15272
HT29,15816
HT29,9676
HT29,1233
HT29,7670
HT29,1049
HT29,5673
HT29,4804
HT29,12621
HT29,12544
HT29,2280
HT29,14718
HT29,7666
HT29,15200
HT29,7420
HT29,16170
HT29,14355
HT29,9093
HT29,10465
HT29,15850
HT29,7517
HT29,4186
HT29,12914
HT29,2010
HT29,15042
IGROV1,4306
IGROV1,4416
IGROV1,10771
IGROV1,17083
IGROV1,320
IGROV1,487
IGROV1,14608
IGROV1,8229
IGROV1,848
IGROV1,9703
IGROV1,15466
IGROV1,15894
IGROV1,1513
IGROV1,2314
IGROV1,10779
IGROV1,4791
IGROV1,9185
IGROV1,7949
IGROV1,4836
IGROV1,16086
IGROV1,5110
IGROV1,16493
IGROV1,15526
IGROV1,3452
IGROV1,10553
IGROV1,14382
IGROV1,8751
IGROV1,12164
IGROV1,15853
IGROV1,13574
IGROV1,7903
IGROV1,12331
IGROV1,3245
IGROV1,17088
IGROV1,16575
IGROV1,11669
IGROV1,11191
IGROV1,8170
IGROV1,16819
IGROV1,9340
IGROV1,15737
IGROV1,14753
IGROV1,13660
IGROV1,13887
IGROV1,15186
IGROV1,7273
IGROV1,12652
IGROV1,8223
IGROV1,12933
IGROV1,3502
IGROV1,15080
IGROV1,402
IGROV1,15607
IGROV1,9898
IGROV1,9665
IGROV1,4032
IGROV1,4790
IGROV1,6814
IGROV1,4967
IGROV1,14731
IGROV1,15508
IGROV1,17159
IGROV1,12706
IGROV1,15535
IGROV1,15378
IGROV1,4638
IGROV1,14773
IGROV1,16926
IGROV1,15792
IGROV1,5806
IGROV1,7497
IGROV1,10125
IGROV1,15123
IGROV1,17037
IGROV1,4394
IGROV1,10376
IGROV1,864
IGROV1,14758
IGROV1,17088
IGROV1,449
IGROV1,3035
IGROV1,17015
IGROV1,9165
IGROV1,12126
IGROV1,10974
IGROV1,14732
IGROV1,9639
IGROV1,5219
IGROV1,2362
IGROV1,1579
IGROV1,13632
IGROV1,10665
IGROV1,15760
IGROV1,16081
IGROV1,16278
IGROV1,8238
IGROV1,8236
IGROV1,12445
IGROV1,3186
IGROV1,14775
IGROV1,8241
IGROV1,8555
IGROV1,12008
IGROV1,14523
IGROV1,4096
IGROV1,5493
IGROV1,9587
IGROV1,13026
IGROV1,9561
IGROV1,10617
IGROV1,17088
IGROV1,16068
IGROV1,13270
IGROV1,17093
IGROV1,5172
IGROV1,6060
IGROV1,8230
IGROV1,8233
IGROV1,6256
IGROV1,5383
IGROV1,14694
IGROV1,6308
IGROV1,9892
IGROV1,15793
IGROV1,853
IGROV1,2420
IGROV1,809
IGROV1,5516
IGROV1,2391
IGROV1,9203
IGROV1,10089
IGROV1,3183
IGROV1,16426
IGROV1,14798
IGROV1,13948
IGROV1,967
IGROV1,15967
IGROV1,1405
IGROV1,11212
IGROV1,4305
IGROV1,188
IGROV1,5539
IGROV1,8234
IGROV1,4841
IGROV1,16586
IGROV1,5387
IGROV1,4438
IGROV1,14449
IGROV1,13227
IGROV1,16191
IGROV1,16086
IGROV1,12193
IGROV1,12413
IGROV1,1923
IGROV1,3341
IGROV1,16441
IGROV1,6145
IGROV1,3419
IGROV1,15765
IGROV1,17088
IGROV1,14461
IGROV1,15394
IGROV1,5069
IGROV1,14242
IGROV1,16374
IGROV1,8701
IGROV1,11430
IGROV1,11453
IGROV1,14029
IGROV1,17088
IGROV1,15593
IGROV1,6872
IGROV1,625
IGROV1,6423
IGROV1,15229
IGROV1,16472
IGROV1,15667
IGROV1,1021
IGROV1,10210
IGROV1,10289
IGROV1,9670
IGROV1,15292
IGROV1,703
IGROV1,996
IGROV1,2340
IGROV1,15774
IGROV1,15481
IGROV1,10967
IGROV1,12633
IGROV1,11633
IGROV1,15369
IGROV1,4700
IGROV1,13425
IGROV1,6335
IGROV1,1338
IGROV1,16166
IGROV1,14488
IGROV1,9938
IGROV1,12277
IGROV1,1935
IGROV1,15960
IGROV1,7725
IGROV1,4688
IGROV1,5368
IGROV1,9597
IGROV1,14800
IGROV1,4646
IGROV1,12299
IGROV1,7856
IGROV1,8235
IGROV1,6983
IGROV1,9671
IGROV1,14136
IGROV1,6086
IGROV1,1568
IGROV1,9200
IGROV1,8499
IGROV1,3195
IGROV1,596
IGROV1,15621
IGROV1,4121
IGROV1,4467
IGROV1,8106
IGROV1,16177
IGROV1,13736
IGROV1,8232
IGROV1,10694
IGROV1,12021
IGROV1,7414
IGROV1,16860
IGROV1,2414
IGROV1,3217
IGROV1,7142
IGROV1,14187
IGROV1,16413
IGROV1,16199
IGROV1,14979
IGROV1,3308
IGROV1,10409
IGROV1,11662
IGROV1,7118
IGROV1,10219
IGROV1,9981
IGROV1,12526
IGROV1,12375
IGROV1,13324
IGROV1,7706
IGROV1,5074
IGROV1,723
IGROV1,15272
IGROV1,17088
IGROV1,15816
IGROV1,2560
IGROV1,7921
IGROV1,9676
IGROV1,1233
IGROV1,7899
IGROV1,13917
IGROV1,7670
IGROV1,5673
IGROV1,4804
IGROV1,12621
IGROV1,12544
IGROV1,16926
IGROV1,2280
IGROV1,14718
IGROV1,1474
IGROV1,7666
IGROV1,7420
IGROV1,16170
IGROV1,9093
IGROV1,10465
IGROV1,15850
IGROV1,7517
IGROV1,4186
IGROV1,11624
IGROV1,12914
IGROV1,2010
IGROV1,4357
IGROV1,15042
K-562,4137
K-562,10771
K-562,14608
K-562,8229
K-562,848
K-562,15466
K-562,15894
K-562,11213
K-562,1513
K-562,2314
K-562,10779
K-562,4791
K-562,9185
K-562,7949
K-562,4836
K-562,1904
K-562,16086
K-562,5110
K-562,16493
K-562,15526
K-562,3452
K-562,9446
K-562,14382
K-562,8751
K-562,12164
K-562,11607
K-562,6764
K-562,13574
K-562,7903
K-562,3245
K-562,14666
K-562,17088
K-562,11669
K-562,11191
K-562,16819
K-562,15737
K-562,14753
K-562,15186
K-562,12652
K-562,8223
K-562,12933
K-562,3502
K-562,15080
K-562,4032
K-562,15915
K-562,4790
K-562,4967
K-562,16976
K-562,14731
K-562,12706
K-562,2007
K-562,15535
K-562,15378
K-562,14002
K-562,14773
K-562,16926
K-562,6047
K-562,15792
K-562,5806
K-562,7497
K-562,10125
K-562,15123
K-562,4394
K-562,10376
K-562,864
K-562,14758
K-562,17015
K-562,12126
K-562,14732
K-562,9639
K-562,5219
K-562,10665
K-562,15760
K-562,16081
K-562,16278
K-562,8238
K-562,6941
K-562,13356
K-562,8236
K-562,4302
K-562,12445
K-562,4965
K-562,3186
K-562,14775
K-562,8241
K-562,12008
K-562,14523
K-562,5493
K-562,9561
K-562,10617
K-562,17088
K-562,16068
K-562,13270
K-562,17093
K-562,5172
K-562,8216
K-562,3337
K-562,8230
K-562,14694
K-562,6308
K-562,1605
K-562,16926
K-562,296
K-562,10595
K-562,9892
K-562,15793
K-562,853
K-562,809
K-562,5516
K-562,1331
K-562,2391
K-562,10089
K-562,16426
K-562,14798
K-562,13948
K-562,967
K-562,14077
K-562,15967
K-562,10188
K-562,1405
K-562,4305
K-562,5539
K-562,8234
K-562,14812
K-562,16586
K-562,5387
K-562,4438
K-562,13227
K-562,16191
K-562,11610
K-562,16086
K-562,12193
K-562,12413
K-562,3341
K-562,16441
K-562,6145
K-562,17088
K-562,14461
K-562,15394
K-562,17088
K-562,16374
K-562,14029
K-562,17088
K-562,14659
K-562,15593
K-562,625
K-562,6423
K-562,15229
K-562,1596
K-562,16472
K-562,15667
K-562,1021
K-562,10210
K-562,10289
K-562,12178
K-562,2310
K-562,15292
K-562,703
K-562,996
K-562,13601
K-562,15774
K-562,10967
K-562,12633
K-562,11633
K-562,15369
K-562,3250
K-562,4700
K-562,13425
K-562,11610
K-562,16976
K-562,16976
K-562,6335
K-562,1338
K-562,16166
K-562,14488
K-562,9938
K-562,12277
K-562,1935
K-562,15960
K-562,7725
K-562,11332
K-562,2522
K-562,16629
K-562,5368
K-562,6426
K-562,14800
K-562,6424
K-562,12299
K-562,7856
K-562,4894
K-562,3367
K-562,8235
K-562,6983
K-562,7496
K-562,14136
K-562,6086
K-562,11128
K-562,11251
K-562,9200
K-562,15705
K-562,4014
K-562,8499
K-562,6424
K-562,596
K-562,15621
K-562,4121
K-562,4467
K-562,4891
K-562,8106
K-562,16177
K-562,13736
K-562,10605
K-562,8232
K-562,2666
K-562,10694
K-562,12021
K-562,16858
K-562,7414
K-562,14204
K-562,16860
K-562,2414
K-562,3217
K-562,7142
K-562,14187
K-562,16413
K-562,3161
K-562,16199
K-562,15751
K-562,14979
K-562,3308
K-562,10409
K-562,11662
K-562,7118
K-562,1400
K-562,10219
K-562,9981
K-562,12526
K-562,12375
K-562,13324
K-562,7706
K-562,5074
K-562,723
K-562,15272
K-562,17088
K-562,15816
K-562,8080
K-562,7921
K-562,9676
K-562,1233
K-562,7899
K-562,13917
K-562,7670
K-562,5673
K-562,12621
K-562,12544
K-562,17034
K-562,16926
K-562,2280
K-562,14718
K-562,7071
K-562,17027
K-562,7666
K-562,15200
K-562,7420
K-562,10532
K-562,8724
K-562,9093
K-562,3782
K-562,10465
K-562,15850
K-562,10055
K-562,7517
K-562,4186
K-562,11624
K-562,2010
K-562,15042
KM12,12062
KM12,4416
KM12,10771
KM12,2146
KM12,4829
KM12,12653
KM12,14608
KM12,8229
KM12,8581
KM12,848
KM12,9703
KM12,1513
KM12,2314
KM12,10779
KM12,4791
KM12,7949
KM12,4836
KM12,1904
KM12,16086
KM12,5110
KM12,16493
KM12,15526
KM12,3452
KM12,10553
KM12,9446
KM12,8751
KM12,12164
KM12,15853
KM12,13574
KM12,7903
KM12,3245
KM12,17088
KM12,16575
KM12,11669
KM12,11191
KM12,9666
KM12,15737
KM12,4390
KM12,13660
KM12,15186
KM12,7273
KM12,12652
KM12,8223
KM12,3502
KM12,12909
KM12,15080
KM12,15607
KM12,4067
KM12,4790
KM12,6814
KM12,4967
KM12,14731
KM12,15508
KM12,17159
KM12,5341
KM12,7826
KM12,12706
KM12,15535
KM12,15378
KM12,4638
KM12,14002
KM12,16926
KM12,6047
KM12,13584
KM12,15792
KM12,5806
KM12,16452
KM12,7497
KM12,10125
KM12,4101
KM12,15123
KM12,8231
KM12,17037
KM12,4394
KM12,10376
KM12,8496
KM12,864
KM12,14758
KM12,3035
KM12,17015
KM12,9165
KM12,12126
KM12,14732
KM12,9639
KM12,5219
KM12,1579
KM12,15498
KM12,9009
KM12,10665
KM12,15760
KM12,16081
KM12,16278
KM12,8238
KM12,6941
KM12,8236
KM12,12445
KM12,1073
KM12,3186
KM12,14775
KM12,8555
KM12,12008
KM12,14523
KM12,1333
KM12,5493
KM12,11044
KM12,9587
KM12,9561
KM12,10617
KM12,16068
KM12,570
KM12,17093
KM12,5172
KM12,14298
KM12,2872
KM12,6060
KM12,8230
KM12,8233
KM12,6256
KM12,5383
KM12,14694
KM12,6308
KM12,7371
KM12,10595
KM12,9892
KM12,1675
KM12,15793
KM12,2508
KM12,853
KM12,11382
KM12,8252
KM12,809
KM12,5516
KM12,2391
KM12,10089
KM12,10378
KM12,3183
KM12,16426
KM12,14798
KM12,13948
KM12,967
KM12,11521
KM12,15967
KM12,48
KM12,188
KM12,15228
KM12,5539
KM12,8234
KM12,9492
KM12,16586
KM12,5387
KM12,4438
KM12,4803
KM12,14449
KM12,13227
KM12,16191
KM12,5290
KM12,16086
KM12,12193
KM12,12413
KM12,3341
KM12,16441
KM12,6145
KM12,17088
KM12,14461
KM12,7802
KM12,15394
KM12,16374
KM12,10759
KM12,14029
KM12,14659
KM12,15593
KM12,625
KM12,6423
KM12,2139
KM12,15229
KM12,865
KM12,4076
KM12,15667
KM12,1021
KM12,10210
KM12,13532
KM12,7141
KM12,10289
KM12,415
KM12,6960
KM12,15292
KM12,703
KM12,996
KM12,2340
KM12,12654
KM12,15774
KM12,12633
KM12,7203
KM12,11633
KM12,15369
KM12,4700
KM12,13425
KM12,6335
KM12,1338
KM12,16166
KM12,14488
KM12,473
KM12,9938
KM12,16564
KM12,12277
KM12,1935
KM12,15960
KM12,7725
KM12,11332
KM12,4688
KM12,5368
KM12,9597
KM12,6426
KM12,14800
KM12,4646
KM12,12299
KM12,7856
KM12,8235
KM12,6983
KM12,7496
KM12,9671
KM12,14136
KM12,17093
KM12,6086
KM12,9200
KM12,8499
KM12,6722
KM12,3195
KM12,596
KM12,15621
KM12,11723
KM12,4121
KM12,4467
KM12,15163
KM12,4891
KM12,8106
KM12,16177
KM12,13736
KM12,8232
KM12,10694
KM12,12021
KM12,16858
KM12,7414
KM12,16860
KM12,2414
KM12,3217
KM12,7142
KM12,14187
KM12,16413
KM12,16199
KM12,2686
KM12,14979
KM12,3308
KM12,11662
KM12,3082
KM12,7118
KM12,9700
KM12,10219
KM12,9981
KM12,2582
KM12,12526
KM12,12375
KM12,13324
KM12,7706
KM12,5074
KM12,723
KM12,15272
KM12,15816
KM12,9676
KM12,12615
KM12,3999
KM12,1233
KM12,14367
KM12,8250
KM12,7899
KM12,552
KM12,13917
KM12,7670
KM12,14086
KM12,13661
KM12,1049
KM12,5673
KM12,4804
KM12,12621
KM12,12544
KM12,16926
KM12,2280
KM12,14718
KM12,1474
KM12,7666
KM12,15200
KM12,5558
KM12,7420
KM12,10532
KM12,16170
KM12,9093
KM12,10465
KM12,17093
KM12,15850
KM12,7517
KM12,4186
KM12,444
KM12,12914
KM12,2010
KM12,14018
KM12,15042
LOX IMVI,3003
LOX IMVI,10771
LOX IMVI,8195
LOX IMVI,8160
LOX IMVI,320
LOX IMVI,487
LOX IMVI,14608
LOX IMVI,8229
LOX IMVI,15330
LOX IMVI,848
LOX IMVI,15466
LOX IMVI,15894
LOX IMVI,806
LOX IMVI,1513
LOX IMVI,10779
LOX IMVI,4791
LOX IMVI,7949
LOX IMVI,1904
LOX IMVI,16086
LOX IMVI,5110
LOX IMVI,16493
LOX IMVI,15526
LOX IMVI,3452
LOX IMVI,7583
LOX IMVI,10553
LOX IMVI,12164
LOX IMVI,13574
LOX IMVI,7903
LOX IMVI,3245
LOX IMVI,17088
LOX IMVI,11191
LOX IMVI,16819
LOX IMVI,12585
LOX IMVI,15737
LOX IMVI,5805
LOX IMVI,15186
LOX IMVI,7273
LOX IMVI,12652
LOX IMVI,8223
LOX IMVI,12933
LOX IMVI,3502
LOX IMVI,15080
LOX IMVI,13952
LOX IMVI,402
LOX IMVI,11464
LOX IMVI,15607
LOX IMVI,5369
LOX IMVI,6574
LOX IMVI,4032
LOX IMVI,4790
LOX IMVI,6814
LOX IMVI,4967
LOX IMVI,16976
LOX IMVI,1278
LOX IMVI,15508
LOX IMVI,12706
LOX IMVI,2007
LOX IMVI,15535
LOX IMVI,15378
LOX IMVI,4638
LOX IMVI,14002
LOX IMVI,8308
LOX IMVI,14773
LOX IMVI,16926
LOX IMVI,4140
LOX IMVI,6047
LOX IMVI,13584
LOX IMVI,11123
LOX IMVI,15792
LOX IMVI,5806
LOX IMVI,7497
LOX IMVI,10125
LOX IMVI,15123
LOX IMVI,8231
LOX IMVI,3120
LOX IMVI,4394
LOX IMVI,10376
LOX IMVI,864
LOX IMVI,14758
LOX IMVI,3035
LOX IMVI,15149
LOX IMVI,17015
LOX IMVI,12126
LOX IMVI,9639
LOX IMVI,3461
LOX IMVI,7959
LOX IMVI,15498
LOX IMVI,10665
LOX IMVI,14445
LOX IMVI,724
LOX IMVI,16081
LOX IMVI,16278
LOX IMVI,8238
LOX IMVI,15814
LOX IMVI,8236
LOX IMVI,12445
LOX IMVI,3186
LOX IMVI,14775
LOX IMVI,8241
LOX IMVI,8555
LOX IMVI,12008
LOX IMVI,14523
LOX IMVI,1333
LOX IMVI,5493
LOX IMVI,9587
LOX IMVI,13026
LOX IMVI,10617
LOX IMVI,16068
LOX IMVI,13270
LOX IMVI,5172
LOX IMVI,14298
LOX IMVI,2872
LOX IMVI,8216
LOX IMVI,3337
LOX IMVI,8230
LOX IMVI,8233
LOX IMVI,6256
LOX IMVI,5383
LOX IMVI,14694
LOX IMVI,6308
LOX IMVI,9892
LOX IMVI,678
LOX IMVI,15793
LOX IMVI,2508
LOX IMVI,853
LOX IMVI,809
LOX IMVI,5516
LOX IMVI,2391
LOX IMVI,9203
LOX IMVI,10089
LOX IMVI,12368
LOX IMVI,3183
LOX IMVI,5555
LOX IMVI,16426
LOX IMVI,14798
LOX IMVI,13948
LOX IMVI,967
LOX IMVI,17093
LOX IMVI,15967
LOX IMVI,10188
LOX IMVI,1405
LOX IMVI,11212
LOX IMVI,4305
LOX IMVI,4656
LOX IMVI,5539
LOX IMVI,15260
LOX IMVI,8234
LOX IMVI,10443
LOX IMVI,4841
LOX IMVI,16586
LOX IMVI,5387
LOX IMVI,4438
LOX IMVI,14449
LOX IMVI,13227
LOX IMVI,16191
LOX IMVI,5290
LOX IMVI,16670
LOX IMVI,16086
LOX IMVI,12193
LOX IMVI,12413
LOX IMVI,3341
LOX IMVI,16441
LOX IMVI,6145
LOX IMVI,15810
LOX IMVI,16545
LOX IMVI,15765
LOX IMVI,17088
LOX IMVI,14461
LOX IMVI,7802
LOX IMVI,15394
LOX IMVI,16374
LOX IMVI,10759
LOX IMVI,14029
LOX IMVI,16643
LOX IMVI,15593
LOX IMVI,6746
LOX IMVI,625
LOX IMVI,6423
LOX IMVI,15229
LOX IMVI,4076
LOX IMVI,15667
LOX IMVI,12427
LOX IMVI,1021
LOX IMVI,10210
LOX IMVI,1181
LOX IMVI,10289
LOX IMVI,4950
LOX IMVI,847
LOX IMVI,976
LOX IMVI,6960
LOX IMVI,7690
LOX IMVI,15292
LOX IMVI,703
LOX IMVI,996
LOX IMVI,2340
LOX IMVI,13601
LOX IMVI,9864
LOX IMVI,12654
LOX IMVI,15774
LOX IMVI,10967
LOX IMVI,12633
LOX IMVI,1475
LOX IMVI,11633
LOX IMVI,6114
LOX IMVI,15369
LOX IMVI,3250
LOX IMVI,4700
LOX IMVI,13425
LOX IMVI,6554
LOX IMVI,6335
LOX IMVI,1338
LOX IMVI,16166
LOX IMVI,14488
LOX IMVI,473
LOX IMVI,9938
LOX IMVI,12277
LOX IMVI,1935
LOX IMVI,15960
LOX IMVI,6150
LOX IMVI,7725
LOX IMVI,5368
LOX IMVI,13052
LOX IMVI,14800
LOX IMVI,12299
LOX IMVI,7856
LOX IMVI,3367
LOX IMVI,8235
LOX IMVI,7496
LOX IMVI,9671
LOX IMVI,14136
LOX IMVI,17093
LOX IMVI,6086
LOX IMVI,9200
LOX IMVI,4014
LOX IMVI,8499
LOX IMVI,3195
LOX IMVI,15621
LOX IMVI,11723
LOX IMVI,4121
LOX IMVI,4467
LOX IMVI,4891
LOX IMVI,8106
LOX IMVI,16177
LOX IMVI,13736
LOX IMVI,8232
LOX IMVI,10694
LOX IMVI,2548
LOX IMVI,16858
LOX IMVI,7414
LOX IMVI,16860
LOX IMVI,2414
LOX IMVI,3217
LOX IMVI,7142
LOX IMVI,14187
LOX IMVI,16413
LOX IMVI,16199
LOX IMVI,240
LOX IMVI,10029
LOX IMVI,2686
LOX IMVI,14979
LOX IMVI,15223
LOX IMVI,3308
LOX IMVI,11662
LOX IMVI,3082
LOX IMVI,7118
LOX IMVI,9700
LOX IMVI,10219
LOX IMVI,9981
LOX IMVI,12526
LOX IMVI,12375
LOX IMVI,13324
LOX IMVI,7706
LOX IMVI,12804
LOX IMVI,5074
LOX IMVI,8930
LOX IMVI,723
LOX IMVI,15272
LOX IMVI,17088
LOX IMVI,15816
LOX IMVI,2560
LOX IMVI,8080
LOX IMVI,5557
LOX IMVI,9676
LOX IMVI,12615
LOX IMVI,13214
LOX IMVI,513
LOX IMVI,1233
LOX IMVI,14367
LOX IMVI,7899
LOX IMVI,3820
LOX IMVI,552
LOX IMVI,2518
LOX IMVI,7670
LOX IMVI,5673
LOX IMVI,12621
LOX IMVI,12544
LOX IMVI,16926
LOX IMVI,2280
LOX IMVI,14718
LOX IMVI,1474
LOX IMVI,7666
LOX IMVI,15200
LOX IMVI,5558
LOX IMVI,8724
LOX IMVI,16170
LOX IMVI,9093
LOX IMVI,4304
LOX IMVI,10465
LOX IMVI,15850
LOX IMVI,7517
LOX IMVI,4186
LOX IMVI,2010
LOX IMVI,14018
LOX IMVI,15042
M14,320
M14,8229
M14,848
M14,1513
M14,10779
M14,4791
M14,16086
M14,5110
M14,15526
M14,7903
M14,15737
M14,12933
M14,3502
M14,15080
M14,4790
M14,1278
M14,12706
M14,7497
M14,14758
M14,16278
M14,3186
M14,10617
M14,6256
M14,853
M14,2391
M14,16426
M14,13948
M14,967
M14,8234
M14,13227
M14,16191
M14,16086
M14,15765
M14,17088
M14,15593
M14,6423
M14,1021
M14,15292
M14,12277
M14,15621
M14,16177
M14,13736
M14,3217
M14,16413
M14,15223
M14,37
M14,9981
M14,12526
M14,13324
M14,723
M14,9676
M14,14718
M14,7666
M14,15850
M14,2010
MALME-3M,4416
MALME-3M,2146
MALME-3M,1560
MALME-3M,8195
MALME-3M,5102
MALME-3M,2419
MALME-3M,320
MALME-3M,14608
MALME-3M,8229
MALME-3M,8581
MALME-3M,848
MALME-3M,9703
MALME-3M,1513
MALME-3M,916
MALME-3M,10779
MALME-3M,2812
MALME-3M,4791
MALME-3M,7949
MALME-3M,4294
MALME-3M,16086
MALME-3M,5110
MALME-3M,15526
MALME-3M,10553
MALME-3M,12164
MALME-3M,6764
MALME-3M,13574
MALME-3M,2051
MALME-3M,7903
MALME-3M,3245
MALME-3M,14666
MALME-3M,6448
MALME-3M,11191
MALME-3M,3312
MALME-3M,16819
MALME-3M,15737
MALME-3M,5805
MALME-3M,2905
MALME-3M,13660
MALME-3M,16450
MALME-3M,1431
MALME-3M,13887
MALME-3M,15186
MALME-3M,7273
MALME-3M,12652
MALME-3M,8223
MALME-3M,15641
MALME-3M,12933
MALME-3M,3502
MALME-3M,15080
MALME-3M,6574
MALME-3M,7147
MALME-3M,11469
MALME-3M,9898
MALME-3M,9665
MALME-3M,4032
MALME-3M,13600
MALME-3M,4790
MALME-3M,6814
MALME-3M,4967
MALME-3M,1278
MALME-3M,14731
MALME-3M,8155
MALME-3M,15508
MALME-3M,682
MALME-3M,12706
MALME-3M,13698
MALME-3M,2007
MALME-3M,15535
MALME-3M,2945
MALME-3M,15378
MALME-3M,14002
MALME-3M,8308
MALME-3M,14773
MALME-3M,4140
MALME-3M,13584
MALME-3M,15792
MALME-3M,5806
MALME-3M,14583
MALME-3M,7497
MALME-3M,10125
MALME-3M,15123
MALME-3M,3120
MALME-3M,4394
MALME-3M,13046
MALME-3M,10376
MALME-3M,864
MALME-3M,14758
MALME-3M,449
MALME-3M,3035
MALME-3M,15149
MALME-3M,1458
MALME-3M,12126
MALME-3M,17106
MALME-3M,9639
MALME-3M,1579
MALME-3M,15498
MALME-3M,10665
MALME-3M,16667
MALME-3M,11817
MALME-3M,10952
MALME-3M,16081
MALME-3M,16278
MALME-3M,8238
MALME-3M,15814
MALME-3M,8236
MALME-3M,3186
MALME-3M,14775
MALME-3M,8555
MALME-3M,14523
MALME-3M,1333
MALME-3M,5493
MALME-3M,11044
MALME-3M,680
MALME-3M,9561
MALME-3M,10617
MALME-3M,16068
MALME-3M,5172
MALME-3M,14298
MALME-3M,6060
MALME-3M,8230
MALME-3M,8233
MALME-3M,6256
MALME-3M,14694
MALME-3M,6308
MALME-3M,4150
MALME-3M,10595
MALME-3M,1675
MALME-3M,4084
MALME-3M,15793
MALME-3M,2508
MALME-3M,853
MALME-3M,2984
MALME-3M,11857
MALME-3M,2420
MALME-3M,9281
MALME-3M,809
MALME-3M,10925
MALME-3M,12945
