drug	protein
DB00228	8572
DB00228	13235
DB00228	14430
DB09225	5232
DB09225	9116
DB09225	15449
DB09225	3991
DB09225	7590
DB09225	523
DB09225	2217
DB01209	13800
DB01209	2881
DB01433	13800
DB00593	8801
DB00296	13634
DB01221	9169
DB01221	5025
DB01221	9116
DB01221	1028
DB01221	523
DB01221	2881
DB01221	13800
DB01221	11963
DB01221	3423
DB01221	6465
DB01221	8393
DB01221	14303
DB01221	2695
DB01221	16583
DB00892	13634
DB00802	13800
DB00344	523
DB00344	2217
DB00555	9447
DB00555	13379
DB00555	9375
DB00555	7473
DB00555	11660
DB00555	3563
DB00555	9793
DB00555	5232
DB00555	9116
DB00555	16323
DB00555	16664
DB00555	12754
DB00555	2881
DB00555	2108
DB00555	15449
DB00555	8393
DB00555	15167
DB00933	15449
DB00933	9116
DB11148	13235
DB11148	1151
DB11148	2316
DB11148	14257
DB01100	9116
DB01100	11974
DB01100	2310
DB01100	8555
DB01452	13800
DB01452	2881
DB01452	1028
DB01452	8959
DB12532	7070
DB00241	13729
DB00241	14917
DB00241	9978
DB00241	2685
DB00241	7452
DB00241	3364
DB00241	9968
DB00241	14303
DB00241	4421
DB00241	13885
DB00241	16323
DB00708	13800
DB00708	1028
DB00708	2881
DB00748	12754
DB09017	16323
DB09017	16664
DB00835	12754
DB00835	5257
DB00835	13996
DB00835	1744
DB00835	14352
DB00835	11963
DB00950	12754
DB06594	3423
DB06594	4954
DB06594	1839
DB09345	13379
DB01176	12754
DB01176	778
DB06144	9116
DB06144	15449
DB06144	3423
DB06144	3991
DB06144	2310
DB06144	11660
DB06144	5275
DB06144	11473
DB00557	12754
DB00557	2310
DB01068	16323
DB01068	16664
DB01068	7470
DB00897	16323
DB00897	16664
DB08922	15449
DB08922	9116
DB08922	5998
DB08922	12754
DB08922	171
DB08922	11473
DB01356	6601
DB01356	14330
DB01356	3107
DB01356	16851
DB09118	16323
DB09118	15737
DB09118	12633
DB09068	2217
DB09068	8393
DB09068	7590
DB09068	9915
DB09068	5998
DB09068	9793
DB09068	523
DB06216	5998
DB06216	9915
DB06216	15449
DB06216	1929
DB06216	3423
DB06216	3923
DB06216	3991
DB06216	7590
DB06216	9116
DB06216	11974
DB06216	171
DB06216	12336
DB06216	11660
DB06216	3563
DB06216	16780
DB06216	13333
DB06216	12754
DB06216	11186
DB06216	9793
DB06216	5156
DB00427	12754
DB00909	5029
DB00909	10909
DB00909	3723
DB00909	13854
DB00909	14372
DB00909	13379
DB00909	5357
DB00909	13879
DB00909	3527
DB00909	12234
DB00909	6429
DB00909	8801
DB00909	7325
DB00909	13235
DB00909	15225
DB00909	3806
DB00909	3807
DB00909	4775
DB00909	5525
DB00909	5876
DB00909	11210
DB00909	8193
DB00909	5894
DB00909	11331
DB00909	14219
DB00909	111
DB00909	176
DB00909	6165
DB00909	9764
DB00909	11298
DB00909	7800
DB00934	523
DB00934	12754
DB00934	5257
DB00934	13996
DB00934	1744
DB00934	14352
DB00934	11963
DB00934	11473
DB00934	15449
DB00934	3423
DB00934	7590
DB00934	9116
DB00934	13333
DB00844	2881
DB00844	13800
DB00844	1028
DB00540	523
DB00540	2217
DB00540	15449
DB00540	5998
DB00540	12754
DB00540	11660
DB00540	11473
DB00540	3423
DB00540	5275
DB00540	13333
DB00540	8044
DB00540	9116
DB00540	3461
DB00540	11963
DB00645	13634
DB00924	15449
DB00924	1929
DB00924	3423
DB00924	3991
DB00924	2217
DB00924	523
DB00924	7590
DB00924	10680
DB00924	10805
DB01018	3563
DB01018	16780
DB00899	13800
DB00899	1028
DB00899	2881
DB00996	8540
DB00996	14717
DB00996	10176
DB00996	9375
DB00996	12024
DB00996	8146
DB00497	13800
DB00497	2881
DB00497	1028
DB00231	16323
DB00231	16664
DB01615	12754
DB00508	9116
DB00508	12336
DB00508	1929
DB00508	5257
DB00508	13996
DB00543	523
DB00543	2217
DB00543	9116
DB00543	12336
DB00543	3563
DB00543	11660
DB00543	5257
DB00543	13729
DB00543	15449
DB00543	3423
DB00543	3991
DB00543	7590
DB00543	11974
DB00543	171
DB00543	12754
DB00543	11473
DB00543	11963
DB00543	1929
DB00543	8393
DB00543	5998
DB00543	9915
DB00543	13333
DB00543	1829
DB00543	16323
DB00543	3174
DB00697	13333
DB00697	7746
DB00697	11473
DB01587	16323
DB01587	16664
DB00653	8924
DB00189	16323
DB00334	15449
DB00334	9116
DB00334	12336
DB00334	5232
DB00334	11974
DB00334	171
DB00334	3423
DB00334	8393
DB00334	3991
DB00334	12754
DB00334	11660
DB00334	5275
DB00334	5257
DB00334	13996
DB00334	1744
DB00334	14352
DB00334	5232
DB00334	8044
DB00334	6465
DB00334	16664
DB00829	16323
DB00829	16664
DB00850	9116
DB00850	12336
DB00850	8555
DB01544	16323
DB01544	16664
DB00527	13634
DB00527	14372
DB00527	8555
DB00193	13800
DB00193	523
DB00193	2217
DB00193	3423
DB00193	2881
DB00193	1028
DB00193	14303
DB00193	1744
DB00193	5257
DB00193	5025
DB00193	10909
DB00193	1015
DB00193	9375
DB00193	13333
DB01239	9116
DB01239	12336
DB01239	11974
DB01239	15449
DB01239	12754
DB01239	5257
DB01239	13996
DB01239	1744
DB01239	14352
DB01239	11963
DB01239	7590
DB00395	13729
DB00395	3365
DB00395	14391
DB00395	7452
DB00395	9978
DB00906	3917
DB00455	12754
DB00455	2310
DB00962	13729
DB00313	9718
DB00313	14334
DB00313	656
DB00313	5912
DB00313	6429
DB00313	15218
DB00313	13279
DB00313	5631
DB00313	3920
DB01623	9116
DB01623	12336
DB01623	15449
DB01567	13729
DB01567	14917
DB01567	9978
DB01567	7452
DB01567	4282
DB01567	14391
DB01567	16664
DB01567	4284
DB01567	3365
DB01567	5447
DB01567	11367
DB01567	9982
DB01567	15206
DB01567	14462
DB01567	13329
DB01567	16842
DB01595	16323
DB01595	16664
DB01595	5029
DB00754	14372
DB00754	7470
DB13025	9116
DB13025	11974
DB13025	7590
DB13025	11473
DB13025	13333
DB01086	13634
DB01224	15449
DB01224	9116
DB01224	5998
DB01224	9915
DB01224	10789
DB01224	5372
DB01224	3423
DB01224	8393
DB01224	3991
DB01224	7590
DB01224	12336
DB01224	5232
DB01224	11974
DB01224	171
DB01224	12754
DB01224	11473
DB01224	3563
DB01224	16780
DB01224	13333
DB01224	5257
DB01224	13996
DB01224	1744
DB01224	14352
DB01224	11963
DB06738	13800
DB06738	2881
DB06738	1028
DB06738	1015
DB01353	13729
DB01353	14917
DB01353	9978
DB01353	2685
DB01353	7452
DB01353	3364
DB01353	9968
DB01353	14303
DB01353	4421
DB01353	13885
DB01081	13800
DB01081	1028
DB00298	11660
DB00298	11473
DB00298	5275
DB01589	16323
DB01589	16664
DB04946	15449
DB04946	9116
DB04946	12336
DB04946	11974
DB04946	171
DB04946	5998
DB04946	3991
DB04946	7590
DB04946	11660
DB04946	12754
DB04946	13333
DB01192	13800
DB01192	1028
DB01267	15449
DB01267	9116
DB01267	12754
DB01267	11660
DB01267	5275
DB01267	171
DB01267	10789
DB01267	11974
DB01267	3423
DB01267	3563
DB01267	16780
DB01267	13333
DB01267	5998
DB01267	12336
DB01267	7590
DB00842	16323
DB00842	16664
DB05246	8801
DB09166	10657
DB09166	16323
DB09166	16664
DB01621	9116
DB01621	12336
DB01621	15449
DB01621	5998
DB00768	12754
DB00768	11186
DB00768	7962
DB00768	4102
DB00768	9675
DB00768	4084
DB00768	9665
DB00768	9668
DB01558	16323
DB01558	16664
DB00402	13729
DB00402	14917
DB00402	16323
DB00402	9978
DB00402	7452
DB08815	9116
DB08815	15449
DB08815	7590
DB08815	5998
DB08815	13333
DB08815	3563
DB00904	8393
DB00904	8982
DB00904	13800
DB00904	5998
DB00904	9915
DB01178	12654
DB00875	9116
DB00875	12336
DB00875	15449
DB00875	11660
DB00875	11974
DB00875	171
DB00875	3423
DB00875	5257
DB00318	13800
DB00318	2881
DB00318	1028
DB00734	15449
DB00734	9116
DB00734	5275
DB00734	16780
DB00734	11660
DB00734	13333
DB00734	12754
DB00734	3423
DB00734	10789
DB00734	5998
DB00734	7590
DB00734	12336
DB01588	16323
DB01588	16664
DB01161	13634
DB01161	3174
DB00181	11137
DB00181	2006
DB01238	5998
DB01238	9116
DB01238	15449
DB01238	11660
DB01238	5275
DB01238	11974
DB01238	10789
DB01238	7590
DB01238	3563
DB01238	13333
DB01238	12754
DB01238	9915
DB01238	3423
DB01238	8393
DB01238	3991
DB01238	12336
DB01238	171
DB01238	16780
DB01238	5372
DB01238	5232
DB01238	1929
DB01238	3923
DB01238	9793
DB01238	5156
DB01238	11186
DB01238	7962
DB01238	1829
DB01238	5257
DB01238	13996
DB01238	1744
DB01238	14352
DB01238	11963
DB01238	2881
DB01238	13800
DB01238	1028
DB01238	1015
DB01238	3174
DB01238	2217
DB01227	13800
DB01227	2230
DB01227	5962
DB01202	9768
DB01202	10176
DB04841	8801
DB04841	7325
DB04841	13235
DB04841	12754
DB04841	8555
DB00652	13800
DB00652	2881
DB00652	3461
DB00295	13800
DB00295	2881
DB00295	1028
DB00295	3784
DB01189	16323
DB01189	14430
DB01189	15167
DB01189	11922
DB01189	294
DB01189	9080
DB01189	15537
DB00408	9116
DB00408	12336
DB00408	15449
DB00408	3423
DB00408	5998
DB00408	9915
DB00408	10789
DB00408	5372
DB00408	8393
DB00408	3923
DB00408	3991
DB00408	7590
DB00408	11660
DB00408	5275
DB00408	3563
DB00408	16780
DB00408	13333
DB00408	9793
DB00408	5257
DB00408	13996
DB00408	1744
DB00408	14352
DB00408	11963
DB00408	5232
DB00408	11974
DB00408	171
DB00408	5232
DB00408	12754
DB00408	11186
DB00408	1829
DB00408	2217
DB00408	523
DB00408	3174
DB00237	16323
DB00237	2230
DB00237	15167
DB00237	4421
DB00237	16851
DB00237	3686
DB00237	13034
DB00237	13885
DB00237	10502
DB00237	15392
DB00237	2440
DB01235	12336
DB01235	5232
DB01235	9116
DB01235	11974
DB01235	171
DB01624	12336
DB01624	5232
DB01624	9116
DB01624	11660
DB01624	3563
DB01624	15449
DB01624	12754
DB00679	9116
DB00679	12336
DB00679	11660
DB00679	5275
DB00679	15449
DB00679	2310
DB00281	13634
DB00281	13379
DB00281	14372
DB00281	3402
DB00281	13854
DB00281	2003
DB00281	13813
DB00721	13634
DB00721	9169
DB00721	8393
DB00721	3174
DB00721	13238
DB00721	16872
DB00721	9425
DB00721	15866
DB00721	11298
DB00721	8846
DB00721	2750
DB01198	13729
DB01198	14917
DB01198	9978
DB01198	7452
DB01198	12654
DB01219	8859
DB00450	9116
DB00450	11660
DB00321	523
DB00321	2217
DB00321	15449
DB00321	5998
DB00321	1028
DB00321	2881
DB00321	15249
DB00321	3462
DB00321	11660
DB00321	11473
DB00321	3563
DB00321	12754
DB00321	8803
DB00321	11922
DB00321	11186
DB00321	1829
DB00321	3461
DB00321	3423
DB00321	5275
DB00321	7590
DB00321	10789
DB00321	13800
DB00321	9915
DB00321	3991
DB00321	12024
DB00321	11963
DB00321	7099
DB01463	3174
DB00737	12754
DB00737	9527
DB04842	9116
DB04842	15449
DB04842	760
DB00475	16323
DB00475	16664
DB00683	16323
DB00683	16664
DB00980	4954
DB00980	1839
DB06282	12754
DB00915	9169
DB00915	14303
DB00915	9116
DB00915	9968
DB00915	5962
DB00495	5518
DB01028	13729
DB01028	15167
DB01028	14430
DB01028	14902
DB01028	11922
DB01028	9080
DB01028	16323
DB06702	1744
DB06702	14352
DB06702	5257
DB06702	13996
DB06702	11963
DB08883	15167
DB00776	6429
DB00695	12691
DB00695	3806
DB00695	14434
DB00214	12691
DB00214	2372
DB00887	12691
DB00887	2372
DB00887	13840
DB00887	13518
DB00887	8
DB00358	7473
DB00674	4999
DB00674	14303
DB00674	2695
DB01245	13238
DB01245	4999
DB01245	9968
DB01245	9626
DB00989	4999
DB00989	2695
DB00843	4999
DB00843	15449
DB00843	2695
DB00843	16583
DB00843	1214
DB00843	2518
DB00843	780
DB00843	1015
DB01122	4999
DB01057	2695
DB00981	4999
DB00981	9968
DB00981	9626
DB00772	2695
DB01010	4999
DB01010	2695
DB00545	4999
DB00545	2695
DB01400	4999
DB01233	9116
DB01233	5257
DB01233	8982
DB01233	8393
DB00677	4999
DB00677	2695
DB00677	13313
DB00944	4999
DB00944	2695
DB00927	11186
DB08806	11186
DB00126	3705
DB00126	2463
DB00126	680
DB00126	2488
DB00126	12260
DB00126	5226
DB00126	2546
DB00126	16059
DB00126	12800
DB00126	13935
DB00126	4901
DB00126	203
DB00126	7424
DB00126	7867
DB00126	9255
DB00126	16335
DB00126	1473
DB00585	11186
DB00248	9116
DB00248	1929
DB00248	11974
DB00248	15449
DB00248	16780
DB00248	10789
DB00248	171
DB00248	3563
DB00248	5998
DB00248	13333
DB00248	5232
DB00248	12336
DB00248	9915
DB00248	3423
DB00248	7590
DB00248	11660
DB00248	5275
DB00248	11473
DB00248	9793
DB00248	5156
DB00248	5232
DB00589	9116
DB00589	11974
DB00589	171
DB00589	12336
DB00589	5232
DB00589	5998
DB00589	10789
DB00589	1929
DB00589	15449
DB00589	3423
DB00589	9915
DB00589	3563
DB00589	16780
DB00589	13333
DB00589	7590
DB01253	11660
DB00353	12336
DB00353	1929
DB00714	171
DB00714	9116
DB00714	11974
DB00714	5232
DB00714	12336
DB00714	13333
DB00714	16780
DB00714	5998
DB00714	15449
DB00714	1929
DB00714	3423
DB00714	3563
DB00714	10789
DB00714	9915
DB00696	10789
DB00696	9915
DB00696	15449
DB00696	9116
DB00696	11660
DB00696	5275
DB00696	11473
DB00696	3563
DB00696	5232
DB00696	5998
DB00696	6465
DB00696	3423
DB00696	1929
DB00696	13333
DB01186	9116
DB01186	11974
DB01186	171
DB01186	5998
DB01186	1929
DB01186	15449
DB01186	10789
DB01186	13333
DB01186	5232
DB01186	12336
DB01186	9915
DB01186	3423
DB01186	11660
DB01186	5275
DB01186	11473
DB00953	10789
DB00953	9915
DB00953	6465
DB06684	2217
DB06684	5998
DB00998	10789
DB00998	9915
DB00669	10789
DB00669	9915
DB00669	6465
DB00669	5998
DB00315	9915
DB00315	10789
DB00315	6465
DB00315	5372
DB00315	7590
DB00315	5998
DB00315	15449
DB00315	1929
DB00918	9915
DB00918	10789
DB00216	10789
DB00216	9915
DB00216	6465
DB00216	5998
DB00952	10789
DB00952	9915
DB00952	6465
DB00952	5998
DB01184	9116
DB01184	11974
DB00218	14427
DB00204	2310
DB00204	13774
DB00204	16176
DB06589	3683
DB06589	2611
DB06589	2271
DB06589	1851
DB06589	2240
DB06589	3937
DB06589	7731
DB06589	13954
DB06589	16796
DB06589	8183
DB00604	8982
DB00604	8393
DB00604	15449
DB00604	2310
DB00889	8393
DB05294	16624
DB05294	3402
DB05294	15634
DB05294	11565
DB05294	8413
DB00537	14427
DB00537	2310
DB01087	6928
DB01087	11643
DB09078	3683
DB09078	2611
DB09078	2271
DB09078	13739
DB09078	14374
DB09078	7731
DB09078	4115
DB09078	1851
DB09078	8413
DB09078	3937
DB01165	14427
DB00539	14217
DB00539	11641
DB09083	1503
DB01169	15227
DB01169	15357
DB01169	10150
DB01169	795
DB01169	2460
DB01169	313
DB01169	15931
DB01169	13214
DB01169	10598
DB01169	3048
DB00308	2953
DB00308	12409
DB00308	2310
DB00308	8540
DB00308	760
DB00308	9250
DB00308	2524
DB00308	16169
DB00308	7099
DB00308	8198
DB01182	14372
DB01182	2310
DB01182	9793
DB01182	5156
DB00489	2310
DB00489	9793
DB00489	5156
DB00757	8393
DB01195	14372
DB01195	13854
DB01195	2310
DB01195	9242
DB01035	14372
DB01035	8846
DB01035	2310
DB08881	3950
DB00014	4241
DB00014	777
DB09063	12030
DB01175	2217
DB01175	5257
DB01175	12754
DB01175	5998
DB01175	15449
DB01175	11473
DB01175	3423
DB01175	13333
DB01175	9116
DB01175	523
DB01175	3174
DB00710	8516
DB00710	3700
DB01244	8924
DB01244	7325
DB01244	14717
DB01244	15739
DB01244	114
DB01244	959
DB01244	8555
DB01244	1202
DB01244	14375
DB01244	2310
DB05039	5156
DB02546	10598
DB02546	15218
DB02546	4975
DB02546	7309
DB02546	10601
DB01254	10344
DB01254	10602
DB01254	8722
DB01254	7582
DB01254	16140
DB01254	3937
DB01254	2240
DB01254	4155
DB01254	15104
DB01254	8296
DB01254	17009
DB01254	16884
DB01254	5022
DB01254	527
DB01254	16795
DB01254	8692
DB01254	10683
DB01254	16504
DB01254	15272
DB01254	15164
DB01254	10878
DB01254	879
DB01254	2667
DB00864	13052
DB00938	5156
DB00938	9793
DB00938	8044
DB06788	777
DB01001	5156
DB01001	9793
DB01001	8044
DB06825	777
DB01218	2310
DB06699	777
DB00637	12754
DB00637	2310
DB00637	3223
DB00637	7809
DB08864	7470
DB00871	5156
DB00871	8044
DB00871	9793
DB09082	5156
DB08868	6870
DB08868	10598
DB08868	5159
DB08868	1323
DB08868	10981
DB01426	14372
DB00691	4046
DB00808	14103
DB08871	12883
DB08871	423
DB00202	2230
DB00202	13996
DB00202	1744
DB01226	13238
DB01226	13996
DB01226	1744
DB01226	2695
DB00445	14427
DB00565	13238
DB11156	14434
DB11156	5257
DB00728	13238
DB00728	13996
DB00728	8393
DB01082	10913
DB01135	13238
DB01135	13996
DB01336	13238
DB01336	13996
DB01177	14427
DB00428	6507
DB00428	9114
DB06263	14427
DB00452	13447
DB00385	14427
DB00694	14427
DB00694	13870
DB03615	6814
DB00997	14427
DB00997	13266
DB00798	13853
DB08906	930
DB08906	6624
DB08906	8685
DB01708	14217
DB01708	8055
DB01708	16323
DB01708	1015
DB01708	10801
DB01708	13279
DB01708	3461
DB01708	7470
DB01708	9527
DB00223	930
DB00663	930
DB00547	930
DB00764	930
DB00764	6624
DB01013	930
DB01013	11123
DB01013	8685
DB00655	14217
DB00655	8055
DB00655	10801
DB00655	12674
DB00655	11641
DB06781	930
DB00635	930
DB00394	930
DB09091	930
DB09091	15218
DB01047	930
DB01047	1435
DB01410	930
DB01380	930
DB01380	11123
DB00240	930
DB00687	8685
DB00687	930
DB00180	930
DB00620	930
DB00591	930
DB00591	11123
DB00591	8233
DB00591	2780
DB00591	12407
DB00591	4416
DB01384	930
DB01130	930
DB00896	930
DB00443	930
DB11921	930
DB01260	930
DB00288	930
DB00288	11123
DB04574	14217
DB04574	8055
DB00959	930
DB00959	11123
DB02187	16252
DB02187	14217
DB00596	930
DB06786	1435
DB00846	930
DB01222	930
DB01222	11123
DB09095	2780
DB09095	930
DB00253	930
DB00838	930
DB00741	930
DB00741	11123
DB00324	930
DB13158	930
DB00937	523
DB00937	3174
DB00191	523
DB00191	2217
DB00191	3174
DB00191	7800
DB00191	11298
DB00191	13161
DB01255	3395
DB01576	4597
DB01576	523
DB01576	3174
DB01576	3395
DB01576	5275
DB01576	13333
DB00399	8516
DB00399	3700
DB00884	8516
DB01133	1408
DB01133	13666
DB01133	1695
DB01133	9874
DB00630	8516
DB00630	2576
DB00630	8606
DB00630	1695
DB00630	3304
DB01077	8606
DB01077	3304
DB01077	3627
DB01077	10219
DB01077	11779
DB00282	8516
DB00282	3700
DB00282	5638
DB00282	6992
DB00720	3627
DB00720	10219
DB00720	11779
DB06707	13333
DB00368	11660
DB00368	5275
DB00368	11473
DB00368	3563
DB00368	16780
DB00368	13333
DB00368	9793
DB00368	5156
DB00368	8044
DB00368	15819
DB00368	4597
DB00368	13510
DB00449	11660
DB00449	3563
DB00449	5156
DB00449	2695
DB00449	4999
DB00217	13333
DB00217	12219
DB00217	8044
DB00865	4597
DB00865	3563
DB00865	11660
DB00865	3174
DB00668	11660
DB00668	5275
DB00668	9793
DB00668	5156
DB00668	3563
DB00668	16780
DB00668	11473
DB00668	13956
DB06262	11660
DB06262	5275
DB06262	11473
DB06262	3563
DB06262	16780
DB06262	13333
DB06262	9793
DB06262	5156
DB06262	8044
DB06262	15819
DB06694	3563
DB06694	16780
DB06694	11660
DB06694	5275
DB06694	11473
DB06694	13333
DB01210	5156
DB01210	9793
DB06711	3563
DB06711	11660
DB04948	3563
DB04948	11660
DB04948	5998
DB04948	7590
DB04948	3423
DB04948	10789
DB00935	11660
DB00935	3563
DB00935	16780
DB00935	13333
DB00935	5275
DB00935	11473
DB00935	5998
DB00935	9915
DB00935	10789
DB09242	3563
DB09242	7746
DB00629	3563
DB00629	16780
DB01577	3174
DB01577	2217
DB01577	523
DB01577	4597
DB01577	13510
DB01577	3395
DB01577	3563
DB01577	16780
DB01577	13333
DB01577	7800
DB01577	11298
DB00852	523
DB00852	3174
DB00852	11660
DB00852	3563
DB00852	2217
DB00852	5156
DB00852	9793
DB00852	13587
DB00852	13956
DB00852	780
DB00852	10150
DB00852	782
DB00960	9793
DB00960	5156
DB00960	5998
DB00960	9915
DB00960	8044
DB00960	8044
DB00968	3563
DB00968	14153
DB00436	14103
DB00436	3861
DB00436	15225
DB00436	3806
DB00436	4775
DB01214	5156
DB01214	9793
DB01203	9793
DB01203	5156
DB00390	15739
DB00571	9793
DB00571	5156
DB00571	8044
DB00571	5998
DB00571	9915
DB00939	9064
DB00939	9427
DB00939	10750
DB00939	8803
DB00939	12024
DB01283	9427
DB01283	9064
DB00500	9427
DB00500	9064
DB00469	9427
DB00469	9064
DB01401	9064
DB01401	9427
DB00179	10750
DB00179	11641
DB01628	9427
DB00870	9064
DB00870	9427
DB00712	9064
DB00712	9427
DB00328	9064
DB00328	9427
DB00328	13077
DB00328	15946
DB00328	3920
DB00328	10562
DB00328	7199
DB00328	13279
DB00328	11658
DB00328	963
DB03585	10863
DB06196	15876
DB06196	4707
DB13167	9427
DB00749	9427
DB00749	9064
DB00749	14813
DB09215	9064
DB09215	9427
DB09216	9064
DB09216	9427
DB06725	9064
DB06725	9427
DB00963	9427
DB00963	9064
DB09288	9064
DB09288	9427
DB09288	9831
DB08439	9427
DB08439	938
DB00812	9427
DB00812	1237
DB00812	9064
DB13783	9064
DB13783	9427
DB08880	492
DB00461	9427
DB00461	9064
DB00465	9427
DB00465	9064
DB01399	9427
DB01399	9064
DB06736	9427
DB06736	9064
DB04552	5750
DB04552	9427
DB04552	7191
DB04552	9064
DB04552	9425
DB04552	8303
DB00788	9064
DB00788	9427
DB00337	9053
DB00337	13052
DB01435	9427
DB01435	9064
DB00814	9427
DB00814	9064
DB00554	9427
DB00554	9064
DB00573	9427
DB00573	9064
DB00573	13279
DB00573	3920
DB00991	9064
DB00991	9427
DB09212	9427
DB09212	9064
DB00744	10750
DB01050	9427
DB01050	9064
DB01050	12883
DB01050	11155
DB01050	3331
DB01050	3920
DB01050	8
DB01050	13279
DB01050	6937
DB01050	9672
DB00586	9427
DB00586	9064
DB06802	9064
DB06802	9427
DB00795	10750
DB00795	9427
DB00795	9064
DB00795	3920
DB00795	10000
DB00795	15227
DB00795	3586
DB00795	2911
DB00795	13591
DB00795	5750
DB01009	9064
DB01009	9427
DB01009	4303
DB00784	9427
DB00784	9064
DB00605	9427
DB00605	9064
DB00605	3828
DB00605	2460
DB00605	5631
DB00605	7199
DB00605	8855
DB00688	8149
DB00688	6362
DB00688	3578
DB01097	492
DB01097	1172
DB01097	12809
DB00210	7151
DB00210	13543
DB00210	10800
DB00210	8880
DB00210	14813
DB00210	10150
DB00210	2043
DB00210	1663
DB00210	10026
DB06700	523
DB06700	2217
DB06700	3174
DB08918	2217
DB08918	523
DB09289	15167
DB09289	13800
DB09289	5998
DB09289	11974
DB04896	2217
DB04896	523
DB04896	1015
DB01024	8149
DB01024	6362
DB01397	9427
DB01397	9064
DB01297	9793
DB09292	14735
DB00966	14797
DB00966	3920
DB01282	6564
DB01340	4046
DB00796	14797
DB09204	9793
DB09204	5156
DB09204	11473
DB01158	15739
DB08931	3669
DB01295	9793
DB01295	5156
DB01295	11660
DB00727	9661
DB00275	14797
DB01020	3669
DB00325	9661
DB00310	12691
DB00310	15225
DB09026	3234
DB09112	6424
DB09112	7299
DB09112	12793
DB00964	3563
DB00964	11660
DB00964	16780
DB00755	10800
DB00755	8880
DB00755	13543
DB00755	4544
DB00755	48
DB00755	1446
DB00755	1663
DB00755	7151
DB00755	2553
DB00755	15574
DB00755	10194
DB00755	11
DB00755	14813
DB00755	707
DB00755	3
DB00755	3830
DB00755	4270
DB00883	9661
DB00232	12691
DB00232	15225
DB00232	3806
DB00232	4775
DB00722	4046
DB00722	3234
DB00631	11420
DB00631	4767
DB04920	11035
DB04920	9178
DB04920	3938
DB04920	2953
DB00393	2953
DB00393	3938
DB00393	11035
DB00393	9178
DB00393	12409
DB00393	6245
DB00393	4787
DB00393	15496
DB00393	8685
DB00393	1172
DB01023	2953
DB01023	8540
DB01023	6245
DB01023	3938
DB01023	9178
DB01023	7325
DB01023	14717
DB01023	8555
DB01023	1202
DB01023	14375
DB01023	8685
DB01023	10379
DB01023	959
DB00350	12219
DB00350	9064
DB00350	3234
DB01144	3806
DB01144	15225
DB01144	4775
DB01144	8193
DB01144	3807
DB00584	4046
DB00876	14797
DB00594	8918
DB00594	8203
DB00594	4708
DB00594	11425
DB00594	14431
DB00594	748
DB00594	815
DB00594	2621
DB00594	10423
DB09236	8924
DB01229	423
DB01229	12883
DB01229	8925
DB01229	8941
DB01229	7809
DB01229	7470
DB00401	2953
DB00401	8540
DB00401	6245
DB00401	3938
DB00401	9178
DB00384	4708
DB00384	8918
DB00384	8203
DB00384	11425
DB00999	14103
DB00999	3861
DB09477	4046
DB09477	400
DB01143	4283
DB09232	10176
DB09232	8924
DB00177	14797
DB00925	11660
DB00925	3563
DB00925	13333
DB00925	16780
DB00925	8555
DB00925	5156
DB00925	5275
DB00925	11473
DB01275	5755
DB01275	2546
DB01275	15458
DB00922	959
DB00922	8198
DB00922	1151
DB00922	8799
DB01612	9661
DB01115	2953
DB01115	7470
DB01115	8555
DB01115	3938
DB01115	9178
DB01115	6245
DB01115	6213
DB01115	13235
DB00700	8685
DB05271	11974
DB05271	171
DB05271	5232
DB05271	9116
DB05271	12336
DB05271	5998
DB05271	16780
DB09279	14797
DB00528	760
DB08822	14797
DB00800	5232
DB00800	12336
DB00800	16780
DB00800	13333
DB00800	3563
DB00800	5275
DB00800	11473
DB00800	11660
DB01197	4046
DB01197	482
DB01197	10340
DB01197	826
DB01197	400
DB00492	4046
DB00797	11660
DB00797	3563
DB00797	12754
DB00797	11186
DB00797	13333
DB00797	16780
DB00774	8193
DB00774	11331
DB00774	12691
DB00774	15739
DB00774	3861
DB00774	15225
DB00774	3806
DB00774	4775
DB00774	176
DB00524	14103
DB00519	4046
DB01029	14797
DB01029	10150
DB00413	11974
DB00413	9116
DB00413	171
DB00413	5998
DB00413	3563
DB01054	2953
DB01054	8540
DB01054	6245
DB01054	3938
DB01054	9178
DB01054	14717
DB01054	7325
DB00692	3563
DB00692	11660
DB00692	5275
DB00692	11473
DB00678	14797
DB00790	4046
DB00790	14390
DB09235	13235
DB09235	2953
DB00435	3669
DB00435	16612
DB00435	15237
DB00703	15225
DB00703	4775
DB00703	3806
DB00703	8193
DB00703	3807
DB00178	4046
DB00178	400
DB00542	4046
DB00881	4046
DB09227	2953
DB01113	7133
DB01113	15472
DB00880	14103
DB00880	15225
DB00880	3806
DB01611	11674
DB01611	8979
DB01611	13586
DB11730	1890
DB11730	2902
DB01117	492
DB01131	13853
DB00205	13853
DB00205	2164
DB01103	7218
DB01103	9425
DB01103	14128
DB00613	3560
DB01280	11420
DB01656	8185
DB01656	11680
DB01656	7133
DB01656	8383
DB00928	8846
DB01181	7470
DB00987	2866
DB01206	7961
DB08895	8005
DB08895	11808
DB08895	13672
DB08895	15264
DB00541	7662
DB00541	1402
DB00361	7662
DB01204	14427
DB00544	5964
DB00724	11674
DB00724	5730
DB00642	5964
DB00642	1056
DB00642	13853
DB00642	11831
DB01101	5964
DB01073	4767
DB01073	11420
DB01073	3863
DB06813	13853
DB06813	5964
DB00773	14427
